url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2009-10-10,10/10/2009,48,I'm Yours,Jason Mraz,I'm YoursJason Mraz,1,49,6,76,93,2009,10,pop
http://www.billboard.com/charts/hot-100/2007-12-01,12/1/2007,47,Before He Cheats,Carrie Underwood,Before He CheatsCarrie Underwood,1,43,8,64,92,2007,12,country
http://www.billboard.com/charts/hot-100/2006-04-22,4/22/2006,49,You And Me,Lifehouse,You And MeLifehouse,2,45,5,62,92,2006,4,pop
http://www.billboard.com/charts/hot-100/2007-06-02,6/2/2007,48,How To Save A Life,The Fray,How To Save A LifeThe Fray,2,43,3,58,93,2007,6,pop
http://www.billboard.com/charts/hot-100/2001-05-26,5/26/2001,48,The Way You Love Me,Faith Hill,The Way You Love MeFaith Hill,2,45,6,56,80,2001,5,country
http://www.billboard.com/charts/hot-100/2002-02-16,2/16/2002,49,Hanging By A Moment,Lifehouse,Hanging By A MomentLifehouse,1,48,2,54,76,2002,2,pop
http://www.billboard.com/charts/hot-100/2004-03-27,3/27/2004,50,Unwell,matchbox twenty,Unwellmatchbox twenty,1,49,5,54,59,2004,3,pop
http://www.billboard.com/charts/hot-100/2001-04-07,4/7/2001,49,Kryptonite,3 Doors Down,Kryptonite3 Doors Down,1,42,3,53,81,2001,4,rock
http://www.billboard.com/charts/hot-100/2002-03-16,3/16/2002,47,Drops Of Jupiter (Tell Me),Train,Drops Of Jupiter (Tell Me)Train,1,45,5,53,77,2002,3,pop
