url,weekid,week_position,song,artist,songid,instance,previous_week_position,peak_position,weeks_on_chart,debut_position,year,month,genre
http://www.billboard.com/charts/hot-100/2006-01-21,1/21/2006,47,Shake It Off,Mariah Carey,Shake It OffMariah Carey,1,42,2,26,66,2006,1,pop
http://www.billboard.com/charts/hot-100/2005-06-11,6/11/2005,66,It's Like That,Mariah Carey,It's Like ThatMariah Carey,1,64,16,20,53,2005,6,pop
http://www.billboard.com/charts/hot-100/2001-09-22,9/22/2001,95,Loverboy,Mariah Carey Featuring Cameo,LoverboyMariah Carey Featuring Cameo,1,89,2,14,79,2001,9,pop
http://www.billboard.com/charts/hot-100/2000-08-05,8/5/2000,95,Crybaby,Mariah Carey Featuring Snoop Dogg,CrybabyMariah Carey Featuring Snoop Dogg,1,90,28,7,28,2000,8,pop
http://www.billboard.com/charts/hot-100/2008-04-26,4/26/2008,47,Crying Out For Me,Mario,Crying Out For MeMario,1,40,33,20,97,2008,4,r&b
http://www.billboard.com/charts/hot-100/2005-06-25,6/25/2005,46,Let Me Love You,Mario,Let Me Love YouMario,1,38,1,36,97,2005,6,r&b
http://www.billboard.com/charts/hot-100/2002-10-12,10/12/2002,42,Just A Friend 2002,Mario,Just A Friend 2002Mario,1,28,4,21,88,2002,10,r&b
http://www.billboard.com/charts/hot-100/2009-12-05,12/5/2009,46,Break Up,Mario Featuring Gucci Mane & Sean Garrett,Break UpMario Featuring Gucci Mane & Sean Garrett,1,41,14,23,98,2009,12,r&b
http://www.billboard.com/charts/hot-100/2006-12-16,12/16/2006,79,Gallery,Mario Vazquez,GalleryMario Vazquez,2,61,35,20,99,2006,12,r&b
http://www.billboard.com/charts/hot-100/2004-09-11,9/11/2004,50,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,I Don't Wanna KnowMario Winans Featuring Enya & P. Diddy,1,47,2,30,72,2004,9,r&b
http://www.billboard.com/charts/hot-100/2003-04-05,4/5/2003,46,19 Somethin',Mark Wills,19 Somethin'Mark Wills,1,41,23,20,69,2003,4,
http://www.billboard.com/charts/hot-100/2008-01-19,1/19/2008,45,Wake Up Call,Maroon 5,Wake Up CallMaroon 5,1,36,19,22,99,2008,1,pop
