weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
9/12/2009,93,Falling Down,Selena Gomez & The Scene,Falling DownSelena Gomez & The Scene,1,,93,1
1/5/2008,93,Falling In Love At A Coffee Shop,Landon Pigg,Falling In Love At A Coffee ShopLandon Pigg,1,,93,1
6/6/2009,94,Falling Slowly,Kris Allen,Falling SlowlyKris Allen,1,,94,1
3/15/2008,61,Falling Slowly,The Swell Season (Glen Hansard & Marketa Irglova),Falling SlowlyThe Swell Season (Glen Hansard & Marketa Irglova),1,,61,1
1/15/2000,70,Falls Apart,Sugar Ray,Falls ApartSugar Ray,1,,70,1
2/7/2004,65,Falls On Me,Fuel,Falls On MeFuel,1,,65,1
1/26/2008,84,Falsetto,The-Dream,FalsettoThe-Dream,1,,84,1
7/28/2001,76,Family Affair,Mary J. Blige,Family AffairMary J. Blige,1,,76,1
11/16/2002,58,Family Portrait,P!nk,Family PortraitP!nk,1,,58,1
10/6/2007,95,Famous In A Small Town,Miranda Lambert,Famous In A Small TownMiranda Lambert,1,,95,1
2/10/2007,93,Famous Last Words,My Chemical Romance,Famous Last WordsMy Chemical Romance,1,,93,1
8/5/2006,72,Far Away,Nickelback,Far AwayNickelback,1,,72,1
5/7/2005,86,Fast Cars And Freedom,Rascal Flatts,Fast Cars And FreedomRascal Flatts,1,,86,1
9/1/2001,75,Fat Lip,Sum 41,Fat LipSum 41,1,,75,1
11/3/2001,99,Fatty Girl,"Ludacris, LL Cool J & Keith Murray","Fatty GirlLudacris, LL Cool J & Keith Murray",1,,99,1
11/21/2009,26,Favorite Girl,Justin Bieber,Favorite GirlJustin Bieber,1,,26,1
11/1/2008,9,Fearless,Taylor Swift,FearlessTaylor Swift,1,,9,1
1/12/2008,84,Feedback,Janet,FeedbackJanet,1,,84,1
5/28/2005,74,Feel Good Inc,Gorillaz,Feel Good IncGorillaz,1,,74,1
6/28/2003,69,Feel Good Time,P!nk Featuring William Orbit,Feel Good TimeP!nk Featuring William Orbit,1,,69,1
8/3/2002,65,Feel It Boy,Beenie Man Featuring Janet,Feel It BoyBeenie Man Featuring Janet,1,,65,1
10/25/2008,82,Feel That Fire,Dierks Bentley,Feel That FireDierks Bentley,1,,82,1
3/30/2002,98,Feel The Girl,Ms. Jade,Feel The GirlMs. Jade,1,,98,1
8/16/2003,93,Feelin' Freaky,Nick Cannon Featuring B2K,Feelin' FreakyNick Cannon Featuring B2K,1,,93,1
8/25/2001,74,Feelin' On Yo Booty,R. Kelly,Feelin' On Yo BootyR. Kelly,1,,74,1
2/19/2000,79,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe,Feelin' So GoodJennifer Lopez Featuring Big Pun & Fat Joe,1,,79,1
7/3/2004,73,Feelin' Way Too Damn Good,Nickelback,Feelin' Way Too Damn GoodNickelback,1,,73,1
3/30/2002,93,Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW,Feels Good (Don't Worry Bout A Thing)Naughty By Nature Featuring 3LW,1,,93,1
9/9/2006,90,Feels Just Like It Should,Pat Green,Feels Just Like It ShouldPat Green,1,,90,1
9/2/2000,82,Feels Like Love,Vince Gill,Feels Like LoveVince Gill,1,,82,1
8/21/2004,73,Feels Like Today,Rascal Flatts,Feels Like TodayRascal Flatts,1,,73,1
2/9/2008,89,Feels Like Tonight,Daughtry,Feels Like TonightDaughtry,1,,89,1
10/7/2006,79,Fergalicious,Fergie,FergaliciousFergie,1,,79,1
12/30/2006,98,Fidelity,Regina Spektor,FidelityRegina Spektor,1,,98,1
3/31/2001,73,Fiesta,R. Kelly Featuring Jay-Z,FiestaR. Kelly Featuring Jay-Z,1,,73,1
11/29/2008,79,Fifteen,Taylor Swift,FifteenTaylor Swift,1,,79,1
4/12/2003,61,Fighter,Christina Aguilera,FighterChristina Aguilera,1,,61,1
2/7/2004,76,Figured You Out,Nickelback,Figured You OutNickelback,1,,76,1
6/9/2001,69,Fill Me In,Craig David,Fill Me InCraig David,1,,69,1
9/20/2003,99,Find A Way,Dwele,Find A WayDwele,1,,99,1
4/21/2007,94,Find Out Who Your Friends Are,Tracy Lawrence,Find Out Who Your Friends AreTracy Lawrence,1,,94,1
12/28/2002,72,Fine Again,Seether,Fine AgainSeether,1,,72,1
5/23/2009,29,Fire Burning,Sean Kingston,Fire BurningSean Kingston,1,,29,1
9/29/2007,96,Firecracker,Josh Turner,FirecrackerJosh Turner,1,,96,1
9/5/2009,97,Fireflies,Owl City,FirefliesOwl City,1,,97,1
11/19/2005,91,Fireman,Lil Wayne,FiremanLil Wayne,1,,91,1
12/5/2009,99,First Dance,Justin Bieber Featuring Usher,First DanceJustin Bieber Featuring Usher,1,,99,1
5/26/2007,48,First Time,Lifehouse,First TimeLifehouse,1,,48,1
10/1/2005,77,Fix You,Coldplay,Fix YouColdplay,1,,77,1
8/3/2002,75,Flake,Jack Johnson,FlakeJack Johnson,1,,75,1
9/4/2004,63,Flap Your Wings,Nelly,Flap Your WingsNelly,1,,63,1
12/8/2007,75,Flashing Lights,Kanye West Featuring Dwele,Flashing LightsKanye West Featuring Dwele,1,,75,1
3/3/2007,75,Flathead,The Fratellis,FlatheadThe Fratellis,1,,75,1
6/23/2001,69,Flavor Of The Weak,American Hi-Fi,Flavor Of The WeakAmerican Hi-Fi,1,,69,1
6/7/2003,95,Flipside,Freeway Featuring Peedi Crakk,FlipsideFreeway Featuring Peedi Crakk,1,,95,1
5/29/2004,97,Float On,Modest Mouse,Float OnModest Mouse,1,,97,1
4/29/2000,95,Flowers On The Wall,Eric Heatherly,Flowers On The WallEric Heatherly,1,,95,1
1/5/2008,89,Fly Like Me,Chingy Featuring Amerie,Fly Like MeChingy Featuring Amerie,1,,89,1
1/10/2009,84,Fly On The Wall,Miley Cyrus,Fly On The WallMiley Cyrus,1,,84,1
7/4/2009,83,Fly With Me,Jonas Brothers,Fly With MeJonas Brothers,1,,83,1
6/28/2003,2,Flying Without Wings,Ruben Studdard,Flying Without WingsRuben Studdard,1,,2,1
3/10/2001,72,Follow Me,Uncle Kracker,Follow MeUncle Kracker,1,,72,1
2/16/2002,78,Foolish,Ashanti,FoolishAshanti,1,,78,1
9/10/2005,97,Footprints,T.O.K.,FootprintsT.O.K.,1,,97,1
6/22/2002,98,For All Time,Soluna,For All TimeSoluna,1,,98,1
2/18/2006,90,For You I Will (Confidence),Teddy Geiger,For You I Will (Confidence)Teddy Geiger,1,,90,1
11/28/2009,84,For Your Entertainment,Adam Lambert,For Your EntertainmentAdam Lambert,1,,84,1
3/2/2002,75,For You,Staind,For YouStaind,1,,75,1
11/29/2008,49,Forever & Always,Taylor Swift,Forever & AlwaysTaylor Swift,1,,49,1
5/24/2003,75,Forever And For Always,Shania Twain,Forever And For AlwaysShania Twain,1,,75,1
5/10/2008,9,Forever,Chris Brown,ForeverChris Brown,1,,9,1
10/3/2009,8,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem","ForeverDrake Featuring Kanye West, Lil Wayne & Eminem",1,,8,1
4/14/2007,95,Forever,Papa Roach,ForeverPapa Roach,1,,95,1
4/4/2009,53,Forever,Rascal Flatts,ForeverRascal Flatts,1,,53,1
11/9/2002,75,Forgive,Rebecca Lynn Howard,ForgiveRebecca Lynn Howard,1,,75,1
1/22/2000,75,Forgot About Dre,Dr. Dre Featuring Eminem,Forgot About DreDr. Dre Featuring Eminem,1,,75,1
11/8/2003,99,Forthenight,Musiq,ForthenightMusiq,1,,99,1
3/17/2007,89,Freak On A Leash (Unplugged),Korn Featuring Amy Lee,Freak On A Leash (Unplugged)Korn Featuring Amy Lee,1,,89,1
2/12/2000,99,Freakin' It,Will Smith,Freakin' ItWill Smith,1,,99,1
7/10/2004,69,Freaks,Play-N-Skillz Featuring Krayzie Bone & Adina Howard,FreaksPlay-N-Skillz Featuring Krayzie Bone & Adina Howard,1,,69,1
10/6/2007,94,Freaky Gurl,Gucci Mane,Freaky GurlGucci Mane,1,,94,1
8/18/2007,89,Free And Easy (Down The Road I Go),Dierks Bentley,Free And Easy (Down The Road I Go)Dierks Bentley,1,,89,1
7/19/2008,51,Free Fallin',John Mayer,Free Fallin'John Mayer,1,,51,1
4/30/2005,100,Free Yourself,Fantasia,Free YourselfFantasia,1,,100,1
12/15/2001,97,Freedom,Paul McCartney,FreedomPaul McCartney,1,,97,1
1/3/2004,99,Freek-A-Leek,Petey Pablo,Freek-A-LeekPetey Pablo,1,,99,1
2/3/2001,75,Free,Mya,FreeMya,1,,75,1
11/1/2008,38,Freeze,T-Pain Featuring Chris Brown,FreezeT-Pain Featuring Chris Brown,1,,38,1
12/24/2005,84,Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri,Fresh AzimizBow Wow Featuring J-Kwon & Jermaine Dupri,1,,84,1
11/10/2001,97,From Her Mama (Mama Got A**),Juvenile,From Her Mama (Mama Got A**)Juvenile,1,,97,1
11/9/2002,90,From Tha Chuuuch To Da Palace,Snoop Dogg,From Tha Chuuuch To Da PalaceSnoop Dogg,1,,90,1
1/29/2000,76,From The Bottom Of My Broken Heart,Britney Spears,From The Bottom Of My Broken HeartBritney Spears,1,,76,1
11/24/2007,61,From Where You Are,Lifehouse,From Where You AreLifehouse,1,,61,1
2/3/2007,95,From Yesterday,Thirty Seconds To Mars,From YesterdayThirty Seconds To Mars,1,,95,1
6/14/2003,89,Frontin',Pharrell Featuring Jay-Z,Frontin'Pharrell Featuring Jay-Z,1,,89,1
5/4/2002,68,Full Moon,Brandy,Full MoonBrandy,1,,68,1
10/10/2009,97,Funhouse,P!nk,FunhouseP!nk,1,,97,1
1/12/2008,86,Funkytown,Alvin And The Chipmunks,FunkytownAlvin And The Chipmunks,1,,86,1
5/9/2009,37,Funny The Way It Is,Dave Matthews Band,Funny The Way It IsDave Matthews Band,1,,37,1
7/14/2007,91,G.N.O. (Girl's Night Out),Miley Cyrus,G.N.O. (Girl's Night Out)Miley Cyrus,1,,91,1
2/21/2004,94,Gal Yuh Ah Lead,T.O.K.,Gal Yuh Ah LeadT.O.K.,1,,94,1
7/29/2006,99,Gallery,Mario Vazquez,GalleryMario Vazquez,1,,99,1
3/13/2004,67,Game Over (Flip),Lil' Flip,Game Over (Flip)Lil' Flip,1,,67,1
6/14/2008,91,Game's Pain,The Game Featuring Keyshia Cole,Game's PainThe Game Featuring Keyshia Cole,1,,91,1
12/27/2003,97,Gangsta Girl,Big Tymers Featuring R. Kelly,Gangsta GirlBig Tymers Featuring R. Kelly,1,,97,1
7/13/2002,61,Gangsta Lovin',Eve Featuring Alicia Keys,Gangsta Lovin'Eve Featuring Alicia Keys,1,,61,1
11/7/2009,57,Gangsta Luv,Snoop Dogg Featuring The-Dream,Gangsta LuvSnoop Dogg Featuring The-Dream,1,,57,1
12/6/2003,77,Gangsta Nation,Westside Connection Featuring Nate Dogg,Gangsta NationWestside Connection Featuring Nate Dogg,1,,77,1
11/13/2004,96,Gasolina,Daddy Yankee,GasolinaDaddy Yankee,1,,96,1
1/8/2000,77,G'd Up,Snoop Dogg Presents Tha Eastsidaz,G'd UpSnoop Dogg Presents Tha Eastsidaz,1,,77,1
8/6/2005,97,Georgia Rain,Trisha Yearwood,Georgia RainTrisha Yearwood,1,,97,1
1/27/2001,98,Georgia,Carolyn Dawn Johnson,GeorgiaCarolyn Dawn Johnson,1,,98,1
12/31/2005,48,Georgia,Ludacris & Field Mob Featuring Jamie Foxx,GeorgiaLudacris & Field Mob Featuring Jamie Foxx,1,,48,1
8/30/2008,43,Get Back,Demi Lovato,Get BackDemi Lovato,1,,43,1
11/20/2004,66,Get Back,Ludacris,Get BackLudacris,1,,66,1
11/24/2007,44,Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon","Get Buck In HereDJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",1,,44,1
4/14/2007,87,Get Buck,Young Buck,Get BuckYoung Buck,1,,87,1
2/22/2003,82,Get Busy,Sean Paul,Get BusySean Paul,1,,82,1
3/29/2003,99,Get By,Talib Kweli,Get ByTalib Kweli,1,,99,1
2/17/2001,99,Get Crunked Up,Iconz Featuring Tony Manshino,Get Crunked UpIconz Featuring Tony Manshino,1,,99,1
1/21/2006,93,Get Drunk And Be Somebody,Toby Keith,Get Drunk And Be SomebodyToby Keith,1,,93,1
6/4/2005,88,Get It Poppin',Fat Joe Featuring Nelly,Get It Poppin'Fat Joe Featuring Nelly,1,,88,1
3/31/2007,76,Get It Shawty,Lloyd,Get It ShawtyLloyd,1,,76,1
5/24/2008,97,Get Like Me,David Banner Featuring Chris Brown,Get Like MeDavid Banner Featuring Chris Brown,1,,97,1
5/3/2003,98,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,Get LowLil Jon & The East Side Boyz Featuring Ying Yang Twins,1,,98,1
5/26/2007,98,Get Me Bodied,Beyonce,Get Me BodiedBeyonce,1,,98,1
1/26/2008,99,Get My Drink On,Toby Keith,Get My Drink OnToby Keith,1,,99,1
5/8/2004,98,Get No Better,Cassidy Featuring Mashonda,Get No BetterCassidy Featuring Mashonda,1,,98,1
2/7/2009,37,Get On Your Boots,U2,Get On Your BootsU2,1,,37,1
3/31/2001,8,Get Over Yourself,Eden's Crush,Get Over YourselfEden's Crush,1,,8,1
1/22/2005,53,Get Right,Jennifer Lopez,Get RightJennifer Lopez,1,,53,1
5/10/2008,92,Get Silly,V.I.C.,Get SillyV.I.C.,1,,92,1
10/27/2001,69,Get The Party Started,P!nk,Get The Party StartedP!nk,1,,69,1
11/1/2008,44,Get Up,50 Cent,Get Up50 Cent,1,,44,1
3/4/2000,100,Get Up,Amel Larrieux,Get UpAmel Larrieux,1,,100,1
8/12/2006,93,Get Up,Ciara Featuring Chamillionaire,Get UpCiara Featuring Chamillionaire,1,,93,1
3/24/2001,65,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott","Get Ur Freak OnMissy ""Misdemeanor"" Elliott",1,,65,1
2/4/2006,100,Get'cha Head In The Game,Andrew Seeley,Get'cha Head In The GameAndrew Seeley,1,,100,1
4/1/2006,96,Gettin' Some,Shawnna,Gettin' SomeShawnna,1,,96,1
8/29/2009,91,Gettin' You Home,Chris Young,Gettin' You HomeChris Young,1,,91,1
10/23/2004,75,Getting Away With Murder,Papa Roach,Getting Away With MurderPapa Roach,1,,75,1
8/18/2001,91,Ghetto Girls,Lil Bow Wow,Ghetto GirlsLil Bow Wow,1,,91,1
7/1/2006,99,Ghetto Story Chapter 2,Cham Featuring Alicia Keys,Ghetto Story Chapter 2Cham Featuring Alicia Keys,1,,99,1
1/8/2005,95,Ghetto,Akon,GhettoAkon,1,,95,1
11/15/2003,95,Gigolo,Nick Cannon Featuring R. Kelly,GigoloNick Cannon Featuring R. Kelly,1,,95,1
9/22/2007,85,Gimme More,Britney Spears,Gimme MoreBritney Spears,1,,85,1
4/22/2006,80,Gimme That,Chris Brown Featuring Lil Wayne,Gimme ThatChris Brown Featuring Lil Wayne,1,,80,1
5/4/2002,97,Gimme The Light,Sean Paul,Gimme The LightSean Paul,1,,97,1
3/29/2003,68,Girl All The Bad Guys Want,Bowling For Soup,Girl All The Bad Guys WantBowling For Soup,1,,68,1
8/25/2001,93,Girl Next Door,Musiq Soulchild Featuring Ayana,Girl Next DoorMusiq Soulchild Featuring Ayana,1,,93,1
2/25/2006,91,Girl Next Door,Saving Jane,Girl Next DoorSaving Jane,1,,91,1
10/26/2002,71,Girl Talk,TLC,Girl TalkTLC,1,,71,1
9/10/2005,100,Girl Tonite,Twista Featuring Trey Songz,Girl ToniteTwista Featuring Trey Songz,1,,100,1
8/20/2005,100,Girl,Beck,GirlBeck,1,,100,1
4/2/2005,90,Girl,Destiny's Child,GirlDestiny's Child,1,,90,1
3/5/2005,98,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,GirlfightBrooke Valentine Featuring Lil Jon & Big Boi,1,,98,1
3/17/2007,5,Girlfriend,Avril Lavigne,GirlfriendAvril Lavigne,1,,5,1
3/8/2003,82,Girlfriend,B2K,GirlfriendB2K,1,,82,1
11/17/2007,82,Girlfriend,Bow Wow & Omarion,GirlfriendBow Wow & Omarion,1,,82,1
2/9/2002,70,Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,1,,70,1
3/18/2006,95,Girl,Paul Wall,GirlPaul Wall,1,,95,1
7/26/2003,75,Girls And Boys,Good Charlotte,Girls And BoysGood Charlotte,1,,75,1
6/7/2008,93,Girls Around The World,Lloyd Featuring Lil Wayne,Girls Around The WorldLloyd Featuring Lil Wayne,1,,93,1
10/21/2000,72,Girls Dem Sugar,Beenie Man Featuring Mya,Girls Dem SugarBeenie Man Featuring Mya,1,,72,1
2/2/2008,95,Girls In Their Summer Clothes,Bruce Springsteen,Girls In Their Summer ClothesBruce Springsteen,1,,95,1
7/10/2004,73,Girls Lie Too,Terri Clark,Girls Lie TooTerri Clark,1,,73,1
10/13/2001,65,"Girls, Girls, Girls",JAY-Z,"Girls, Girls, GirlsJAY-Z",1,,65,1
11/27/2004,74,Give A Little Bit,Goo Goo Dolls,Give A Little BitGoo Goo Dolls,1,,74,1
5/17/2008,57,Give It 2 Me,Madonna,Give It 2 MeMadonna,1,,57,1
8/19/2006,99,Give It Away,George Strait,Give It AwayGeorge Strait,1,,99,1
3/23/2002,96,Give It To Her,Tanto Metro & Devonte,Give It To HerTanto Metro & Devonte,1,,96,1
2/24/2007,87,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,Give It To MeTimbaland Featuring Nelly Furtado & Justin Timberlake,1,,87,1
11/28/2009,58,Give It Up To Me,Shakira Featuring Lil Wayne,Give It Up To MeShakira Featuring Lil Wayne,1,,58,1
8/19/2000,51,Give Me Just One Night (Una Noche),98 Degrees,Give Me Just One Night (Una Noche)98 Degrees,1,,51,1
5/7/2005,99,Give Me That,Webbie Featuring Bun B,Give Me ThatWebbie Featuring Bun B,1,,99,1
4/15/2000,97,Give Me You,Mary J. Blige,Give Me YouMary J. Blige,1,,97,1
6/2/2007,99,Given Up,Linkin Park,Given UpLinkin Park,1,,99,1
11/29/2008,69,Gives You Hell,The All-American Rejects,Gives You HellThe All-American Rejects,1,,69,1
1/27/2007,98,Glamorous,Fergie Featuring Ludacris,GlamorousFergie Featuring Ludacris,1,,98,1
10/2/2004,71,Go D.J.,Lil Wayne,Go D.J.Lil Wayne,1,,71,1
2/3/2007,86,Go Getta,Young Jeezy Featuring R. Kelly,Go GettaYoung Jeezy Featuring R. Kelly,1,,86,1
10/18/2008,78,Go Girl,Ciara Featuring T-Pain,Go GirlCiara Featuring T-Pain,1,,78,1
12/15/2007,92,Go Girl,Pitbull Featuring Trina & Young Bo$$,Go GirlPitbull Featuring Trina & Young Bo$$,1,,92,1
10/4/2008,69,Go Hard,DJ Khaled Featuring Kanye West & T-Pain,Go HardDJ Khaled Featuring Kanye West & T-Pain,1,,69,1
4/5/2008,96,Go On Girl,Ne-Yo,Go On GirlNe-Yo,1,,96,1
8/26/2000,71,Go On,George Strait,Go OnGeorge Strait,1,,71,1
7/9/2005,84,Go!,Common,Go!Common,1,,84,1
12/29/2001,99,God Bless America,Daniel Rodriguez,God Bless AmericaDaniel Rodriguez,1,,99,1
5/3/2003,4,God Bless The U.S.A.,American Idol Finalists,God Bless The U.S.A.American Idol Finalists,1,,4,1
9/29/2001,16,God Bless The USA,Lee Greenwood,God Bless The USALee Greenwood,1,,16,1
7/18/2009,91,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard","God In MeMary Mary Featuring Kierra ""KiKi"" Sheard",1,,91,1
12/6/2008,89,God Love Her,Toby Keith,God Love HerToby Keith,1,,89,1
2/2/2008,99,God Must Be Busy,Brooks & Dunn,God Must Be BusyBrooks & Dunn,1,,99,1
3/12/2005,96,God's Will,Martina McBride,God's WillMartina McBride,1,,96,1
2/12/2005,80,Goin' Crazy,Natalie,Goin' CrazyNatalie,1,,80,1
4/5/2008,88,Going On,Gnarls Barkley,Going OnGnarls Barkley,1,,88,1
7/30/2005,92,Gold Digger,Kanye West Featuring Jamie Foxx,Gold DiggerKanye West Featuring Jamie Foxx,1,,92,1
4/1/2006,97,Gold Lion,Yeah Yeah Yeahs,Gold LionYeah Yeah Yeahs,1,,97,1
2/5/2005,76,Gone,Montgomery Gentry,GoneMontgomery Gentry,1,,76,1
9/22/2001,63,Gone,'N Sync,Gone'N Sync,1,,63,1
3/24/2007,91,Good Directions,Billy Currington,Good DirectionsBilly Currington,1,,91,1
5/30/2009,76,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,Good Girls Go BadCobra Starship Featuring Leighton Meester,1,,76,1
10/1/2005,88,Good Is Good,Sheryl Crow,Good Is GoodSheryl Crow,1,,88,1
9/29/2007,14,Good Life,Kanye West Featuring T-Pain,Good LifeKanye West Featuring T-Pain,1,,14,1
11/28/2009,69,Good Life,OneRepublic,Good LifeOneRepublic,1,,69,1
4/3/2004,77,Good Little Girls,Blue County,Good Little GirlsBlue County,1,,77,1
4/22/2006,100,Good Luck Charm,Jagged Edge,Good Luck CharmJagged Edge,1,,100,1
12/1/2001,70,Good Morning Beautiful,Steve Holy,Good Morning BeautifulSteve Holy,1,,70,1
10/31/2009,40,Good Morning,Chamillionaire,Good MorningChamillionaire,1,,40,1
10/22/2005,93,Good Ride Cowboy,Garth Brooks,Good Ride CowboyGarth Brooks,1,,93,1
5/24/2008,99,Good Time,Alan Jackson,Good TimeAlan Jackson,1,,99,1
7/20/2002,75,Good Times,Styles,Good TimesStyles,1,,75,1
10/1/2005,95,Good Times,Tommy Lee,Good TimesTommy Lee,1,,95,1
3/18/2000,40,Goodbye Earl,Dixie Chicks,Goodbye EarlDixie Chicks,1,,40,1
2/11/2006,48,Goodbye For Now,P.O.D.,Goodbye For NowP.O.D.,1,,48,1
2/18/2006,100,Goodbye My Lover,James Blunt,Goodbye My LoverJames Blunt,1,,100,1
6/11/2005,95,Goodbye Time,Blake Shelton,Goodbye TimeBlake Shelton,1,,95,1
8/31/2002,69,Goodbye To You,Michelle Branch,Goodbye To YouMichelle Branch,1,,69,1
11/17/2001,77,Goodbye,Jagged Edge,GoodbyeJagged Edge,1,,77,1
5/9/2009,75,Goodbye,Kristinia DeBarge,GoodbyeKristinia DeBarge,1,,75,1
6/26/2004,94,Goodies,Ciara Featuring Petey Pablo,GoodiesCiara Featuring Petey Pablo,1,,94,1
12/28/2002,75,Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris","Gossip FolksMissy ""Misdemeanor"" Elliott Featuring Ludacris",1,,75,1
7/1/2000,99,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,Got BeefSnoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,1,,99,1
7/15/2000,89,Got It All,Eve & Jadakiss,Got It AllEve & Jadakiss,1,,89,1
4/17/2004,99,Got It Twisted,Mobb Deep,Got It TwistedMobb Deep,1,,99,1
4/12/2008,79,Got Me Going,DAY26,Got Me GoingDAY26,1,,79,1
6/14/2008,13,Got Money,Lil Wayne Featuring T-Pain,Got MoneyLil Wayne Featuring T-Pain,1,,13,1
9/6/2003,99,Got Some Teeth,Obie Trice,Got Some TeethObie Trice,1,,99,1
12/15/2001,99,Got Ur Self A...,Nas,Got Ur Self A...Nas,1,,99,1
4/27/2002,73,Gots Ta Be,B2K,Gots Ta BeB2K,1,,73,1
10/18/2008,10,Gotta Be Somebody,Nickelback,Gotta Be SomebodyNickelback,1,,10,1
7/5/2008,30,Gotta Find You,Joe Jonas,Gotta Find YouJoe Jonas,1,,30,1
7/27/2002,77,Gotta Get Thru This,Daniel Bedingfield,Gotta Get Thru ThisDaniel Bedingfield,1,,77,1
7/16/2005,100,Gotta Getcha,Jermaine Dupri,Gotta GetchaJermaine Dupri,1,,100,1
9/1/2007,60,Gotta Go My Own Way,Zac Efron & Vanessa Anne Hudgens,Gotta Go My Own WayZac Efron & Vanessa Anne Hudgens,1,,60,1
12/11/2004,89,Gotta Go Solo,Patti LaBelle Featuring Ron Isley,Gotta Go SoloPatti LaBelle Featuring Ron Isley,1,,89,1
12/3/2005,96,Gotta Go,Trey Songz,Gotta GoTrey Songz,1,,96,1
8/13/2005,89,Gotta Make It,Trey Songz Featuring Twista,Gotta Make ItTrey Songz Featuring Twista,1,,89,1
9/9/2000,85,Gotta Tell You,Samantha Mumba,Gotta Tell YouSamantha Mumba,1,,85,1
2/17/2007,81,Grace Kelly,MIKA,Grace KellyMIKA,1,,81,1
4/15/2000,81,Graduation (Friends Forever),Vitamin C,Graduation (Friends Forever)Vitamin C,1,,81,1
3/3/2007,71,Gravity,John Mayer,GravityJohn Mayer,1,,71,1
12/9/2006,96,Greatest Time Of Year,Aly & AJ,Greatest Time Of YearAly & AJ,1,,96,1
9/20/2008,96,Green Light,John Legend Featuring Andre 3000,Green LightJohn Legend Featuring Andre 3000,1,,96,1
11/19/2005,84,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp","GrillzNelly Featuring Paul Wall, Ali & Gipp",1,,84,1
4/16/2005,92,Grind With Me,Pretty Ricky,Grind With MePretty Ricky,1,,92,1
5/25/2002,98,Grindin',Clipse,Grindin'Clipse,1,,98,1
3/31/2001,70,Grown Men Don't Cry,Tim McGraw,Grown Men Don't CryTim McGraw,1,,70,1
5/18/2002,85,Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,Guess Who's BackScarface Featuring Jay-Z & Beanie Sigel,1,,85,1
4/7/2001,97,Guilty Until Proven Innocent,Jay-Z Featuring R. Kelly,Guilty Until Proven InnocentJay-Z Featuring R. Kelly,1,,97,1
5/17/2008,100,Gunpowder And Lead,Miranda Lambert,Gunpowder And LeadMiranda Lambert,1,,100,1
7/21/2007,100,Guys Like Me,Eric Church,Guys Like MeEric Church,1,,100,1
12/5/2009,25,Half Of My Heart,John Mayer,Half Of My HeartJohn Mayer,1,,25,1
3/23/2002,81,halfcrazy,Musiq,halfcrazyMusiq,1,,81,1
12/26/2009,99,Halfway Gone,Lifehouse,Halfway GoneLifehouse,1,,99,1
5/16/2009,91,Halle Berry (She's Fine),Hurricane Chris Featuring SupaSTAAR,Halle Berry (She's Fine)Hurricane Chris Featuring SupaSTAAR,1,,91,1
5/31/2008,68,Hallelujah,Kate Voegele,HallelujahKate Voegele,1,,68,1
10/24/2009,40,Halo / Walking On Sunshine,Glee Cast,Halo / Walking On SunshineGlee Cast,1,,40,1
2/7/2009,93,Halo,Beyonce,HaloBeyonce,1,,93,1
4/26/2008,100,Handlebars,Flobots,HandlebarsFlobots,1,,100,1
2/2/2002,65,Hands Clean,Alanis Morissette,Hands CleanAlanis Morissette,1,,65,1
9/16/2006,84,Hands Up,Lloyd Banks Featuring 50 Cent,Hands UpLloyd Banks Featuring 50 Cent,1,,84,1
2/10/2001,76,Hanging By A Moment,Lifehouse,Hanging By A MomentLifehouse,1,,76,1
7/8/2006,86,Hanging On,Cheyenne Kimball,Hanging OnCheyenne Kimball,1,,86,1
4/10/2004,80,Happy People,R. Kelly,Happy PeopleR. Kelly,1,,80,1
12/30/2006,50,Happy Xmas (War Is Over),The Fray,Happy Xmas (War Is Over)The Fray,1,,50,1
4/30/2005,89,Happy?,Mudvayne,Happy?Mudvayne,1,,89,1
6/1/2002,77,Happy,Ashanti,HappyAshanti,1,,77,1
10/3/2009,50,Happy,Leona Lewis,HappyLeona Lewis,1,,50,1
8/23/2003,76,Harder To Breathe,Maroon 5,Harder To BreatheMaroon 5,1,,76,1
12/5/2009,80,Hard,Rihanna Featuring Jeezy,HardRihanna Featuring Jeezy,1,,80,1
11/18/2006,83,Hate (I Really Don't Like You),Plain White T's,Hate (I Really Don't Like You)Plain White T's,1,,83,1
