weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
7/15/2006,39,A Public Affair,Jessica Simpson,A Public AffairJessica Simpson,1,,39,1
7/9/2005,99,A Real Fine Place To Start,Sara Evans,A Real Fine Place To StartSara Evans,1,,99,1
1/1/2005,97,A Rose By Any Other Name,Teena Marie Featuring Gerald Levert,A Rose By Any Other NameTeena Marie Featuring Gerald Levert,1,,97,1
3/2/2002,80,A Thousand Miles,Vanessa Carlton,A Thousand MilesVanessa Carlton,1,,80,1
4/14/2007,89,A Woman's Love,Alan Jackson,A Woman's LoveAlan Jackson,1,,89,1
10/27/2001,90,A Woman's Worth,Alicia Keys,A Woman's WorthAlicia Keys,1,,90,1
2/15/2003,76,A.D.I.D.A.S.,Killer Mike Featuring Big Boi,A.D.I.D.A.S.Killer Mike Featuring Big Boi,1,,76,1
8/26/2000,99,Aaron's Party (Come Get It),Aaron Carter,Aaron's Party (Come Get It)Aaron Carter,1,,99,1
8/19/2006,53,About Us,Brooke Hogan Featuring Paul Wall,About UsBrooke Hogan Featuring Paul Wall,1,,53,1
1/10/2009,51,About You Now,Miranda Cosgrove,About You NowMiranda Cosgrove,1,,51,1
5/6/2000,85,Absolutely (Story Of A Girl),Nine Days,Absolutely (Story Of A Girl)Nine Days,1,,85,1
2/21/2009,70,Absolute,The Fray,AbsoluteThe Fray,1,,70,1
6/26/2004,61,Accidentally In Love,Counting Crows,Accidentally In LoveCounting Crows,1,,61,1
12/19/2009,67,According To You,Orianthi,According To YouOrianthi,1,,67,1
3/5/2005,22,Across The Universe,Various Artists,Across The UniverseVarious Artists,1,,22,1
6/7/2003,72,Act A Fool,Ludacris,Act A FoolLudacris,1,,72,1
6/28/2008,96,Addicted,Saving Abel,AddictedSaving Abel,1,,96,1
6/28/2003,73,Addicted,Simple Plan,AddictedSimple Plan,1,,73,1
4/20/2002,71,Addictive,Truth Hurts Featuring Rakim,AddictiveTruth Hurts Featuring Rakim,1,,71,1
